"id";"title";"slug";"acronym";"url";"organization";"organization_id";"owner";"owner_id";"description";"description_short";"frequency";"license";"temporal_coverage.start";"temporal_coverage.end";"spatial.granularity";"spatial.zones";"featured";"created_at";"last_modified";"tags";"archived";"resources_count";"main_resources_count";"resources_formats";"harvest.backend";"harvest.domain";"harvest.created_at";"harvest.modified_at";"harvest.remote_url";"quality_score";"metric.discussions";"metric.discussions_open";"metric.reuses";"metric.reuses_by_months";"metric.dataservices";"metric.followers";"metric.followers_by_months";"metric.views";"metric.resources_downloads"
"53698e6ba3a729239d203468";"Activités d'accueil des tournages et filmographies dans les monuments nationaux";"activites-d-accueil-des-tournages-et-filmographies-dans-les-monuments-nationaux-576180";"";"https://www.data.gouv.fr/datasets/activites-d-accueil-des-tournages-et-filmographies-dans-les-monuments-nationaux-576180";"Centre des monuments nationaux ";"534fff5ea3a7292c64a77d40";"";"";"Activités d'accueil des tournages et filmographies récentes dans les monuments nationaux";"";"annual";"Licence Ouverte / Open Licence";"";"";"other";"France";"False";"2013-10-20T15:08:37.261000";"2016-08-04T17:06:08.419000";"culture,film,monuments";"False";"1";"1";"xml";"";"";"";"";"";"0.56";"0";"0";"0";"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";"0";"0";"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";"3081";"96"
"536990bea3a729239d203aa3";"Classement des monuments nationaux par catégorie";"classement-des-monuments-nationaux-par-categorie-576182";"";"https://www.data.gouv.fr/datasets/classement-des-monuments-nationaux-par-categorie-576182";"Centre des monuments nationaux ";"534fff5ea3a7292c64a77d40";"";"";"Classement des monuments nationaux par catégorie";"";"annual";"Licence Ouverte / Open Licence";"";"";"other";"France";"False";"2013-10-20T15:01:42.530000";"2016-08-04T17:06:24.208000";"culture,monuments";"False";"1";"1";"xml";"";"";"";"";"";"0.56";"2";"2";"0";"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";"0";"0";"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";"6710";"117"
"536995d3a3a729239d20481e";"Fréquentation des monuments nationaux";"frequentation-des-monuments-nationaux-576170";"";"https://www.data.gouv.fr/datasets/frequentation-des-monuments-nationaux-576170";"Centre des monuments nationaux ";"534fff5ea3a7292c64a77d40";"";"";"Fréquentation annuelle des monuments du Centre des monuments nationaux ";"";"annual";"Licence Ouverte / Open Licence";"2018-01-01";"2021-12-31";"other";"France";"False";"2013-10-20T14:45:59.801000";"2022-11-21T11:03:44.169000";"chiffre,culture,frequentation,monuments";"False";"1";"1";"csv";"";"";"";"";"";"0.78";"0";"0";"0";"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";"0";"0";"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";"9147";"1062"
"536998eea3a729239d2050ca";"Liste des coordonnées GPS des monuments nationaux";"liste-des-coordonnees-gps-des-monuments-nationaux";"";"https://www.data.gouv.fr/datasets/liste-des-coordonnees-gps-des-monuments-nationaux";"Centre des monuments nationaux ";"534fff5ea3a7292c64a77d40";"";"";"Liste des coordonnées GPS des monuments nationaux";"";"annual";"Licence Ouverte / Open Licence";"";"";"other";"France";"False";"2013-10-20T14:09:26.297000";"2019-07-29T14:51:22.942000";"culture,monuments";"False";"2";"2";"ods,csv";"";"";"";"";"";"0.67";"1";"1";"4";"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";"0";"3";"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";"13109";"2037"
"54297d0588ee380326a59163";"Production de films cinématographiques - données statistiques";"production-de-films-cinematographiques-donnees-statistiques";"";"https://www.data.gouv.fr/datasets/production-de-films-cinematographiques-donnees-statistiques";"Centre national du cinéma et de l'image animée";"534fff5fa3a7292c64a77d49";"";"";"- films et devis - financements des chaines - financements des sofica - mandats de distribution en salles, en video et a l'etranger - financements des collectivites locales - aides a la production";"";"annual";"Licence Ouverte / Open Licence";"1980-01-01";"2013-12-31";"poi";"France";"False";"2014-09-29T17:38:45.415000";"2016-03-07T05:42:58.861000";"cinema,films,films-agrees,films-francais,films-francais-production,films-produits,films-sortis,production,statistiques";"False";"1";"1";"xlsx";"";"";"";"";"";"0.89";"1";"1";"0";"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";"0";"0";"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";"4592";"1047"
"5429829c88ee380327a59168";"distribution des films dans les salles de cinéma";"distribution-des-films-dans-les-salles-de-cinema";"";"https://www.data.gouv.fr/datasets/distribution-des-films-dans-les-salles-de-cinema";"Centre national du cinéma et de l'image animée";"534fff5fa3a7292c64a77d49";"";"";"- Coûts de distribution - données statistiques - Distributeurs de films ";"";"annual";"Licence Ouverte / Open Licence";"1975-01-01";"2013-12-31";"poi";"France";"False";"2014-09-29T18:02:36.958000";"2016-02-03T08:33:50.029000";"cinema,distributeur-de-films,distribution,films,salles-cinema,statistiques";"False";"2";"2";"xlsx";"";"";"";"";"";"0.78";"0";"0";"0";"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";"1";"1";"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";"6095";"2082"
"542c11ce88ee386c42cb3929";"Public des films";"public-des-films";"";"https://www.data.gouv.fr/datasets/public-des-films";"Centre national du cinéma et de l'image animée";"534fff5fa3a7292c64a77d49";"";"";"- selon la nationalité - selon le genre - selon le nombre d'établissements programmes en première semaine - selon le nombre d'entrées - selon la recommandation art et essai - selon le mode de projection ";"";"annual";"Licence Ouverte / Open Licence";"2005-01-01";"2013-12-31";"poi";"France";"False";"2014-10-01T16:38:06.760000";"2015-07-09T23:54:14.573000";"cinema,films,frequentation,public";"False";"1";"1";"xlsx";"";"";"";"";"";"0.89";"1";"1";"0";"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";"0";"1";"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 1, '2025-06': 0, '2025-07': 0, '2025-08': 0}";"7131";"3170"
"5433fbed88ee387368b698a1";"Pratiques cinématographiques";"pratiques-cinematographiques";"";"https://www.data.gouv.fr/datasets/pratiques-cinematographiques";"Centre national du cinéma et de l'image animée";"534fff5fa3a7292c64a77d49";"";"";"- le trajet - choix du cinéma fréquenté - fréquentation - réservation des places - service cinéma - information sur les films - cinéma en relief - activités culturelles des spectateurs de cinéma - le public de la fête du cinéma - le public de l'été ";"";"annual";"Licence Ouverte / Open Licence";"2005-01-01";"2018-10-07";"poi";"France";"False";"2014-10-07T16:42:53.084000";"2019-03-22T10:25:03.497000";"cinema,fete-du-cinema,frequentation,public,reservation,spectateurs";"False";"1";"1";"xlsx";"";"";"";"";"";"0.78";"1";"1";"0";"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";"0";"0";"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";"3743";"939"
"543408d888ee38736ab698a1";"Profil du public des salles de cinema";"profil-du-public-des-salles-de-cinema";"";"https://www.data.gouv.fr/datasets/profil-du-public-des-salles-de-cinema";"Centre national du cinéma et de l'image animée";"534fff5fa3a7292c64a77d49";"";"";"Fréquentation cinéma selon âge, sexe, habitudes de fréquentation, catégorie professionnelle, zone d'habitat, etc.";"";"annual";"Licence Ouverte / Open Licence";"1980-01-01";"2013-12-31";"poi";"France";"False";"2014-10-07T17:38:00.046000";"2016-02-03T10:32:57.510000";"cinema,frequentation,public";"False";"1";"1";"xlsx";"";"";"";"";"";"0.78";"0";"0";"0";"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";"0";"1";"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";"5291";"2878"
"54340b8e88ee387368b698a2";"Public selon les catégories d'établissements cinématographiques";"public-selon-les-categories-detablissements-cinematographiques";"";"https://www.data.gouv.fr/datasets/public-selon-les-categories-detablissements-cinematographiques";"Centre national du cinéma et de l'image animée";"534fff5fa3a7292c64a77d49";"";"";"- Public des établissements cinématographiques selon la zone d'implantation, la catégorie d'exploitation, le nombre d'écrans - Public des multiplexes selon leur localisation géographique - Public des établissements cinématographiques selon le classement art et essai ";"";"annual";"Licence Ouverte / Open Licence";"2011-01-01";"2013-12-31";"poi";"France";"False";"2014-10-07T17:49:34.607000";"2015-08-17T23:46:19.256000";"cinema,public,publics";"False";"1";"1";"xlsx";"";"";"";"";"";"0.78";"0";"0";"0";"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";"0";"0";"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";"2340";"499"
